,epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_h1n1_2009_positive_tests,flu_ah1_positive_tests,flu_ah3_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,other_hpiv_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
12,201433,2014-08-16,2014-08-21,lab,ottawa p.h.l.,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0
13,201433,2014-08-16,2014-08-21,lab,cheo - ottawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,201433,2014-08-16,2014-08-21,lab,kingston,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,6.0,0.0,5.0,0.0,3.0,0.0
15,201433,2014-08-16,2014-08-21,region,atlantic,124.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,201433,2014-08-16,2014-08-21,lab,c.p.h.l. - toronto,138.0,0.0,0.0,1.0,1.0,0.0,136.0,0.0,136.0,0.0,2.0,10.0,0.0,0.0,136.0,1.0,124.0,1.0,46.0,6.0,33.0,0.0
17,201433,2014-08-16,2014-08-21,lab,sick kids' hospital - toronto,78.0,0.0,0.0,0.0,0.0,0.0,78.0,2.0,78.0,0.0,0.0,4.0,0.0,1.0,78.0,0.0,78.0,0.0,78.0,2.0,78.0,0.0
18,201433,2014-08-16,2014-08-21,lab,sunnybrook & women's college hsc,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,32.0,0.0,32.0,5.0,32.0,0.0
19,201433,2014-08-16,2014-08-21,lab,sault ste. marie,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,201433,2014-08-16,2014-08-21,lab,timmins,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,201433,2014-08-16,2014-08-21,lab,st. joseph's - london,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,201433,2014-08-16,2014-08-21,lab,london p.h.l.,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,8.0,0.0,3.0,1.0,1.0,0.0
23,201433,2014-08-16,2014-08-21,lab,orillia p.h.l.,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
24,201433,2014-08-16,2014-08-21,lab,thunder bay,10.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,0.0,6.0,1.0,5.0,0.0
25,201433,2014-08-16,2014-08-21,lab,sudbury p.h.l.,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
26,201433,2014-08-16,2014-08-21,lab,hamilton p.h.l.,21.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,21.0,0.0,13.0,2.0,12.0,0.0
27,201433,2014-08-16,2014-08-21,lab,peterborough p.h.l.,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,4.0,1.0,4.0,0.0
28,201433,2014-08-16,2014-08-21,region,on,450.0,0.0,0.0,1.0,1.0,0.0,442.0,3.0,318.0,0.0,2.0,17.0,0.0,1.0,318.0,2.0,297.0,1.0,194.0,20.0,170.0,0.0
29,201433,2014-08-16,2014-08-21,lab,mb,62.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,34.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0,18.0,0.0,34.0,5.0,18.0,0.0
30,201433,2014-08-16,2014-08-21,lab,regina,82.0,1.0,0.0,0.0,1.0,0.0,82.0,0.0,82.0,0.0,0.0,6.0,1.0,0.0,82.0,1.0,82.0,0.0,82.0,15.0,82.0,0.0
31,201433,2014-08-16,2014-08-21,region,atlantic,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,20.0,0.0,20.0,5.0,20.0,0.0
32,201433,2014-08-16,2014-08-21,lab,sk,102.0,1.0,0.0,0.0,1.0,0.0,102.0,0.0,102.0,0.0,0.0,7.0,1.0,0.0,102.0,2.0,102.0,0.0,102.0,20.0,102.0,0.0
33,201433,2014-08-16,2014-08-21,lab,ab,236.0,0.0,0.0,2.0,3.0,0.0,236.0,0.0,236.0,13.0,0.0,0.0,0.0,0.0,236.0,9.0,236.0,0.0,236.0,40.0,236.0,0.0
34,201433,2014-08-16,2014-08-21,region,prairies,400.0,1.0,0.0,2.0,4.0,0.0,373.0,1.0,372.0,13.0,0.0,8.0,1.0,0.0,372.0,12.0,356.0,0.0,372.0,65.0,356.0,0.0
35,201433,2014-08-16,2014-08-21,region,bc,68.0,0.0,0.0,1.0,1.0,0.0,68.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,36.0,0.0,36.0,6.0,36.0,1.0
36,201433,2014-08-16,2014-08-21,nation,ca,1253.0,1.0,0.0,4.0,8.0,0.0,1249.0,5.0,1058.0,14.0,3.0,32.0,2.0,1.0,1074.0,25.0,910.0,1.0,610.0,92.0,767.0,1.0
0,201432,2014-08-09,2014-08-14,lab,nl,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,,,,
1,201432,2014-08-09,2014-08-14,lab,pe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,201432,2014-08-09,2014-08-14,lab,ns,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
3,201432,2014-08-09,2014-08-14,lab,nb,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,201432,2014-08-09,2014-08-14,region,atlantic,28.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,27.0,2.0,13.0,0.0,6.0,0.0,6.0,0.0
5,201432,2014-08-09,2014-08-14,lab,région nord-est,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
6,201432,2014-08-09,2014-08-14,lab,québec-chaudière-appalaches,44.0,0.0,0.0,0.0,1.0,0.0,69.0,0.0,68.0,0.0,0.0,2.0,1.0,0.0,68.0,1.0,48.0,0.0,,,48.0,0.0
7,201432,2014-08-09,2014-08-14,lab,centre-du-québec,20.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,,0.0,0.0
