epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201632,2016-08-13,2016-08-18,lab,montréal laval,308.0,0.0,0.0,1.0,0.0,284.0,4.0,266.0,0.0,3.0,5.0,0.0,0.0,287.0,9.0,214.0,0.0,,,206.0,1.0
201632,2016-08-13,2016-08-18,lab,ouest du québec,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201632,2016-08-13,2016-08-18,lab,montérégie,13.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201632,2016-08-13,2016-08-18,region,qc,383.0,0.0,0.0,1.0,0.0,366.0,5.0,316.0,0.0,3.0,10.0,0.0,0.0,344.0,9.0,257.0,0.0,,,249.0,1.0
201632,2016-08-13,2016-08-18,lab,ottawa phl,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201632,2016-08-13,2016-08-18,lab,cheo ottawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201632,2016-08-13,2016-08-18,lab,kingston phl,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,5.0,1.0,3.0,0.0
201632,2016-08-13,2016-08-18,lab,toronto medical laboratory,98.0,0.0,0.0,0.0,0.0,98.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
201632,2016-08-13,2016-08-18,lab,phol toronto,134.0,0.0,0.0,0.0,0.0,132.0,1.0,132.0,1.0,3.0,7.0,0.0,0.0,132.0,0.0,128.0,0.0,31.0,3.0,27.0,0.0
201632,2016-08-13,2016-08-18,lab,sick kids hospital toronto,49.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,0.0,8.0,0.0,0.0,49.0,3.0,49.0,1.0,49.0,7.0,49.0,1.0
201632,2016-08-13,2016-08-18,lab,sunnybrook womens college hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201632,2016-08-13,2016-08-18,lab,sault ste marie phl,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0
201632,2016-08-13,2016-08-18,lab,timmins phl,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0
201632,2016-08-13,2016-08-18,lab,st josephs london,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201632,2016-08-13,2016-08-18,lab,london phl,19.0,0.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,15.0,0.0,11.0,0.0,7.0,0.0
201632,2016-08-13,2016-08-18,lab,orillia phl,8.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0
201632,2016-08-13,2016-08-18,lab,thunder bay phl,11.0,0.0,0.0,0.0,0.0,11.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,11.0,0.0,6.0,0.0,5.0,0.0
201632,2016-08-13,2016-08-18,lab,sudbury phl,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0
201632,2016-08-13,2016-08-18,lab,hamilton phl,40.0,0.0,1.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,38.0,0.0,15.0,1.0,12.0,3.0
201632,2016-08-13,2016-08-18,lab,peterborough phl,13.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,6.0,2.0,6.0,1.0
201632,2016-08-13,2016-08-18,region,on,400.0,0.0,1.0,1.0,0.0,398.0,4.0,306.0,1.0,3.0,21.0,0.0,0.0,300.0,4.0,292.0,1.0,132.0,14.0,116.0,5.0
201632,2016-08-13,2016-08-18,lab,mb,85.0,0.0,0.0,0.0,0.0,85.0,4.0,77.0,0.0,0.0,0.0,1.0,0.0,77.0,3.0,33.0,0.0,77.0,13.0,33.0,1.0
201632,2016-08-13,2016-08-18,lab,regina,111.0,0.0,0.0,0.0,0.0,111.0,1.0,111.0,0.0,0.0,7.0,0.0,0.0,111.0,5.0,111.0,0.0,111.0,28.0,111.0,0.0
201632,2016-08-13,2016-08-18,lab,saskatoon,33.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,33.0,0.0,33.0,11.0,33.0,0.0
201632,2016-08-13,2016-08-18,lab,sk,144.0,0.0,0.0,0.0,0.0,144.0,1.0,144.0,0.0,0.0,8.0,0.0,0.0,144.0,5.0,144.0,0.0,144.0,39.0,144.0,0.0
201632,2016-08-13,2016-08-18,lab,ab,274.0,0.0,3.0,3.0,0.0,274.0,6.0,274.0,7.0,0.0,0.0,0.0,0.0,274.0,1.0,274.0,2.0,274.0,38.0,274.0,1.0
201632,2016-08-13,2016-08-18,region,prairies,503.0,0.0,3.0,3.0,0.0,503.0,11.0,495.0,7.0,0.0,8.0,1.0,0.0,495.0,9.0,451.0,2.0,495.0,90.0,451.0,2.0
201632,2016-08-13,2016-08-18,region,bc,104.0,0.0,0.0,1.0,1.0,104.0,4.0,61.0,0.0,0.0,1.0,0.0,0.0,61.0,0.0,61.0,0.0,61.0,10.0,61.0,0.0
201632,2016-08-13,2016-08-18,lab,yt,3.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,
201632,2016-08-13,2016-08-18,lab,nt,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
201632,2016-08-13,2016-08-18,lab,nu,8.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,3.0,8.0,0.0
201632,2016-08-13,2016-08-18,region,territories,16.0,0.0,0.0,0.0,0.0,16.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,13.0,3.0,13.0,0.0
